nid,hex,node,type,arch,os,cores,availmem,pagesz,clockmhz,cpu,slot,cage,cabinet,cab_position,cab_row,x_coord,y_coord,z_coord,processor_type,alloc_mode,process_slots,process_slots_free,processor_spec,next_red_black_switch,od_allocator_id
70,0x46,c0-0c2s3n0,compute,xt,cnl,16,32000,4096,2400,0,3,2,NULL,0,0,2,0,3,compute,batch,4,4,NULL,NULL,23
71,0x47,c0-0c2s3n1,compute,xt,cnl,16,32000,4096,2400,1,3,2,NULL,0,0,2,0,3,compute,batch,4,4,NULL,NULL,24
72,0x48,c0-0c2s4n0,compute,xt,cnl,16,32000,4096,2400,0,4,2,NULL,0,0,2,0,4,compute,batch,4,4,NULL,NULL,33
73,0x49,c0-0c2s4n1,compute,xt,cnl,16,32000,4096,2400,1,4,2,NULL,0,0,2,0,4,compute,batch,4,4,NULL,NULL,34
74,0x4a,c0-0c2s5n0,compute,xt,cnl,16,32000,4096,2400,0,5,2,NULL,0,0,2,0,5,compute,batch,4,4,NULL,NULL,35
75,0x4b,c0-0c2s5n1,compute,xt,cnl,16,32000,4096,2400,1,5,2,NULL,0,0,2,0,5,compute,batch,4,4,NULL,NULL,36
76,0x4c,c0-0c2s6n0,compute,xt,cnl,16,32000,4096,2400,0,6,2,NULL,0,0,2,0,6,compute,batch,4,4,NULL,NULL,45
77,0x4d,c0-0c2s6n1,compute,xt,cnl,16,32000,4096,2400,1,6,2,NULL,0,0,2,0,6,compute,batch,4,4,NULL,NULL,46
78,0x4e,c0-0c2s7n0,compute,xt,cnl,16,64000,4096,2400,0,7,2,NULL,0,0,2,0,7,compute,batch,4,4,NULL,NULL,47
79,0x4f,c0-0c2s7n1,compute,xt,cnl,16,64000,4096,2400,1,7,2,NULL,0,0,2,0,7,compute,batch,4,4,NULL,NULL,48
80,0x50,c0-0c2s7n2,compute,xt,cnl,16,64000,4096,2400,2,7,2,NULL,0,0,2,1,7,compute,batch,4,4,NULL,NULL,95
81,0x51,c0-0c2s7n3,compute,xt,cnl,16,64000,4096,2400,3,7,2,NULL,0,0,2,1,7,compute,batch,4,4,NULL,NULL,96
82,0x52,c0-0c2s6n2,compute,xt,cnl,16,32000,4096,2400,2,6,2,NULL,0,0,2,1,6,compute,batch,4,4,NULL,NULL,93
83,0x53,c0-0c2s6n3,compute,xt,cnl,16,32000,4096,2400,3,6,2,NULL,0,0,2,1,6,compute,batch,4,4,NULL,NULL,94
84,0x54,c0-0c2s5n2,compute,xt,cnl,16,32000,4096,2400,2,5,2,NULL,0,0,2,1,5,compute,batch,4,4,NULL,NULL,83
85,0x55,c0-0c2s5n3,compute,xt,cnl,16,32000,4096,2400,3,5,2,NULL,0,0,2,1,5,compute,batch,4,4,NULL,NULL,84
86,0x56,c0-0c2s4n2,compute,xt,cnl,16,32000,4096,2400,2,4,2,NULL,0,0,2,1,4,compute,batch,4,4,NULL,NULL,81
87,0x57,c0-0c2s4n3,compute,xt,cnl,16,32000,4096,2400,3,4,2,NULL,0,0,2,1,4,compute,batch,4,4,NULL,NULL,82
88,0x58,c0-0c2s3n2,compute,xt,cnl,16,32000,4096,2400,2,3,2,NULL,0,0,2,1,3,compute,batch,4,4,NULL,NULL,71
89,0x59,c0-0c2s3n3,compute,xt,cnl,16,32000,4096,2400,3,3,2,NULL,0,0,2,1,3,compute,batch,4,4,NULL,NULL,72
90,0x5a,c0-0c2s2n2,service,xt,service,6,16000,4096,2200,2,2,2,NULL,0,0,2,1,2,service,batch,4,4,NULL,NULL,69
91,0x5b,c0-0c2s2n3,service,xt,service,6,16000,4096,2200,3,2,2,NULL,0,0,2,1,2,service,batch,4,4,NULL,NULL,70
92,0x5c,c0-0c2s1n2,compute,xt,cnl,16,32000,4096,2400,2,1,2,NULL,0,0,2,1,1,compute,batch,4,4,NULL,NULL,59
93,0x5d,c0-0c2s1n3,compute,xt,cnl,16,32000,4096,2400,3,1,2,NULL,0,0,2,1,1,compute,batch,4,4,NULL,NULL,60
94,0x5e,c0-0c2s0n2,service,xt,service,6,16000,4096,2200,2,0,2,NULL,0,0,2,1,0,service,batch,4,4,NULL,NULL,57
95,0x5f,c0-0c2s0n3,service,xt,service,6,16000,4096,2200,3,0,2,NULL,0,0,2,1,0,service,batch,4,4,NULL,NULL,58
